model,precision_buggy,recall_buggy,f1_buggy,roc_auc
Logistic Regression,0.2650322118826055,0.6774931381518756,0.3810136351942372,0.7611557677932581
Random Forest,0.3473807433421129,0.5430009149130832,0.4237015884347671,0.7847254909777492
XGBoost,0.2642441860465116,0.8316559926806953,0.4010589013898081,0.801499819083487
Logistic Regression (tuned),0.26440677966101694,0.6779505946935042,0.38043896804004623,0.7611194785366264
Random Forest (tuned),0.34738074334211294,0.5430009149130832,0.4237015884347671,0.784725507533067
XGBoost (tuned),0.24899003501211958,0.8458371454711803,0.38472742405326676,0.8023162280257956
