project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc,baseline_method,feature_type,tuning_applied,split_strategy
apache/ignite,XGBoost,0.6443418013856813,0.7560975609756098,0.6957605985037406,0.8096650020807324,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/groovy,Logistic Regression (Vanilla-Tuned),0.14218009478672985,0.6593406593406593,0.23391812865497075,0.6977432227879454,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/groovy,Random Forest (Vanilla-Tuned),0.2641509433962264,0.46153846153846156,0.336,0.7285281802276437,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/groovy,XGBoost (Vanilla-Tuned),0.176056338028169,0.5494505494505495,0.26666666666666666,0.7548261219996462,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/activemq,Logistic Regression (Vanilla-Tuned),0.23529411764705882,0.5901639344262295,0.3364485981308411,0.6900775448917045,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/activemq,Random Forest (Vanilla-Tuned),0.27169811320754716,0.5901639344262295,0.37209302325581395,0.7360491186210585,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/activemq,XGBoost (Vanilla-Tuned),0.21800947867298578,0.7540983606557377,0.3382352941176471,0.7444720982372421,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/camel,Logistic Regression (Vanilla-Tuned),0.041280539174389216,0.5764705882352941,0.0770440251572327,0.6462579730687457,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/camel,Random Forest (Vanilla-Tuned),0.10884353741496598,0.3764705882352941,0.16886543535620052,0.7985506732813608,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/camel,XGBoost (Vanilla-Tuned),0.0777479892761394,0.6823529411764706,0.13959085439229843,0.8156183557760455,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hbase,Logistic Regression (Vanilla-Tuned),0.31121642969984203,0.6793103448275862,0.4268689057421452,0.6814063556457066,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hbase,Random Forest (Vanilla-Tuned),0.327027027027027,0.8344827586206897,0.46990291262135925,0.723289384719405,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hbase,XGBoost (Vanilla-Tuned),0.3375,0.8379310344827586,0.48118811881188117,0.7348985801217038,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/zookeeper,Logistic Regression (Vanilla-Tuned),0.11904761904761904,0.625,0.2,0.798728813559322,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/zookeeper,Random Forest (Vanilla-Tuned),0.09090909090909091,0.875,0.16470588235294117,0.7457627118644068,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/zookeeper,XGBoost (Vanilla-Tuned),0.0945945945945946,0.875,0.17073170731707318,0.7108050847457628,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hive,Logistic Regression (Vanilla-Tuned),0.5197505197505198,0.7440476190476191,0.6119951040391677,0.7764928330232238,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hive,Random Forest (Vanilla-Tuned),0.43209876543209874,0.9375,0.5915492957746479,0.7831967989800841,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hive,XGBoost (Vanilla-Tuned),0.48951048951048953,0.8333333333333334,0.6167400881057269,0.7994689373578665,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/cassandra,Logistic Regression (Vanilla-Tuned),0.5889212827988338,0.5088161209068011,0.5459459459459459,0.7284104788330862,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/cassandra,Random Forest (Vanilla-Tuned),0.5014577259475219,0.8664987405541562,0.6352723915050785,0.8110663714253515,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/cassandra,XGBoost (Vanilla-Tuned),0.4817320703653586,0.8967254408060453,0.6267605633802817,0.8087104310137397,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hadoop-hdfs,Logistic Regression (Vanilla-Tuned),0.8293515358361775,0.7253731343283583,0.7738853503184714,0.6736318407960199,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hadoop-hdfs,Random Forest (Vanilla-Tuned),0.8518518518518519,0.9611940298507463,0.9032258064516129,0.9296605209247878,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hadoop-hdfs,XGBoost (Vanilla-Tuned),0.9523809523809523,0.8955223880597015,0.9230769230769231,0.9268217734855135,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hadoop-mapreduce,Logistic Regression (Vanilla-Tuned),0.8018018018018018,0.6137931034482759,0.6953125,0.6269476372924648,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hadoop-mapreduce,Random Forest (Vanilla-Tuned),0.7712418300653595,0.8137931034482758,0.7919463087248322,0.73544061302682,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/hadoop-mapreduce,XGBoost (Vanilla-Tuned),0.8098591549295775,0.7931034482758621,0.8013937282229965,0.7841634738186463,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/flink,Logistic Regression (Vanilla-Tuned),0.24855491329479767,0.6771653543307087,0.36363636363636365,0.7283464566929134,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/flink,Random Forest (Vanilla-Tuned),0.32808988764044944,0.5748031496062992,0.4177396280400572,0.7624514435695537,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/flink,XGBoost (Vanilla-Tuned),0.29590017825311943,0.6535433070866141,0.40736196319018403,0.7744540682414698,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/spark,Logistic Regression (Vanilla-Tuned),0.3854166666666667,0.8409090909090909,0.5285714285714286,0.8360020661157025,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/spark,Random Forest (Vanilla-Tuned),0.36363636363636365,0.8181818181818182,0.5034965034965035,0.8473657024793388,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/spark,XGBoost (Vanilla-Tuned),0.3979591836734694,0.8863636363636364,0.5492957746478874,0.863830061983471,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/kafka,Logistic Regression (Vanilla-Tuned),0.30864197530864196,0.7575757575757576,0.43859649122807015,0.7772934827729349,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/kafka,Random Forest (Vanilla-Tuned),0.29411764705882354,0.8333333333333334,0.43478260869565216,0.7759962640099627,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/kafka,XGBoost (Vanilla-Tuned),0.29508196721311475,0.8181818181818182,0.43373493975903615,0.7949875466998755,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/zeppelin,Logistic Regression (Vanilla-Tuned),0.31386861313868614,0.7413793103448276,0.441025641025641,0.659698275862069,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/zeppelin,Random Forest (Vanilla-Tuned),0.4077669902912621,0.7241379310344828,0.5217391304347826,0.6710668103448275,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/zeppelin,XGBoost (Vanilla-Tuned),0.36036036036036034,0.6896551724137931,0.47337278106508873,0.6706357758620689,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/ignite,Logistic Regression (Vanilla-Tuned),0.5738693467336683,0.7737127371273713,0.6589728793998846,0.7701653421028593,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/ignite,Random Forest (Vanilla-Tuned),0.7126269956458636,0.6653116531165312,0.6881569726699369,0.8151015498919034,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/ignite,XGBoost (Vanilla-Tuned),0.6178781925343811,0.8523035230352304,0.7164009111617312,0.8305769972493732,Vanilla,Traditional Features,True,Chronological (70/15/15)
apache/groovy,Random (proportional),0.06159420289855073,0.19767441860465115,0.09392265193370165,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/groovy,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/groovy,All Buggy,0.07113316790736146,1.0,0.13281853281853281,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/activemq,Random (proportional),0.13983050847457626,0.2323943661971831,0.1746031746031746,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/activemq,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/activemq,All Buggy,0.15451577801958652,1.0,0.26767200754005654,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/camel,Random (proportional),0.03436988543371522,0.17073170731707318,0.05722070844686648,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/camel,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/camel,All Buggy,0.03612334801762115,1.0,0.06972789115646258,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hbase,Random (proportional),0.23795180722891565,0.5374149659863946,0.3298538622129436,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hbase,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hbase,All Buggy,0.22442748091603054,1.0,0.36658354114713215,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/zookeeper,Random (proportional),0.07142857142857142,0.5555555555555556,0.12658227848101267,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/zookeeper,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/zookeeper,All Buggy,0.07142857142857142,1.0,0.13333333333333333,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hive,Random (proportional),0.279887482419128,0.6768707482993197,0.39601990049751246,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hive,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hive,All Buggy,0.2862706913339825,1.0,0.44511733535200604,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/cassandra,Random (proportional),0.3168103448275862,0.393048128342246,0.35083532219570407,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/cassandra,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/cassandra,All Buggy,0.3055555555555556,1.0,0.46808510638297873,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hadoop-hdfs,Random (proportional),0.7384615384615385,0.7643312101910829,0.7511737089201878,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hadoop-hdfs,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hadoop-hdfs,All Buggy,0.7185354691075515,1.0,0.8362183754993342,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hadoop-mapreduce,Random (proportional),0.7413793103448276,0.5771812080536913,0.6490566037735849,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hadoop-mapreduce,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/hadoop-mapreduce,All Buggy,0.7487437185929648,1.0,0.8563218390804598,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/flink,Random (proportional),0.21372549019607842,0.3123209169054441,0.25378346915017463,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/flink,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/flink,All Buggy,0.19897377423033066,1.0,0.33190679980979554,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/spark,Random (proportional),0.20512820512820512,0.5581395348837209,0.3,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/spark,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/spark,All Buggy,0.19545454545454546,1.0,0.3269961977186312,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/kafka,Random (proportional),0.16097560975609757,0.6111111111111112,0.2548262548262548,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/kafka,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/kafka,All Buggy,0.15083798882681565,1.0,0.2621359223300971,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/zeppelin,Random (proportional),0.22641509433962265,0.5,0.3116883116883117,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/zeppelin,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/zeppelin,All Buggy,0.22018348623853212,1.0,0.3609022556390977,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/ignite,Random (proportional),0.3445121951219512,0.17546583850931677,0.23251028806584362,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/ignite,All Non-Buggy,0.0,0.0,0.0,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/ignite,All Buggy,0.35658914728682173,1.0,0.5257142857142857,0.5,Random/Naive,No Features (Trivial),False,Chronological (70/15/15)
apache/groovy,Logistic Regression (TF-IDF 768D),0.10351966873706005,0.7692307692307693,0.18248175182481752,0.8051766758761087,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/groovy,Random Forest (TF-IDF 768D),0.27472527472527475,0.38461538461538464,0.32051282051282054,0.8129416896902719,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/groovy,XGBoost (TF-IDF 768D),0.13333333333333333,0.7076923076923077,0.22439024390243903,0.797775192671223,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/groovy,Logistic Regression (TF-IDF 32D (PCA)),0.10358565737051793,0.8,0.18342151675485008,0.8054675003635307,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
