project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc,baseline_method,feature_type,tuning_applied,split_strategy
apache/groovy,Random Forest (TF-IDF 32D (PCA)),0.24528301886792453,0.4,0.30409356725146197,0.7975352624691,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/groovy,XGBoost (TF-IDF 32D (PCA)),0.14457831325301204,0.7384615384615385,0.24181360201511334,0.7810091609713538,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/activemq,Logistic Regression (TF-IDF 768D),0.17424242424242425,0.7666666666666667,0.2839506172839506,0.7559014267185474,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/activemq,Random Forest (TF-IDF 768D),0.4418604651162791,0.4222222222222222,0.4318181818181818,0.7404308978238939,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/activemq,XGBoost (TF-IDF 768D),0.2013888888888889,0.6444444444444445,0.30687830687830686,0.7440409280876207,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/activemq,Logistic Regression (TF-IDF 32D (PCA)),0.17480719794344474,0.7555555555555555,0.2839248434237996,0.7600086467790749,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/activemq,Random Forest (TF-IDF 32D (PCA)),0.42045454545454547,0.4111111111111111,0.4157303370786517,0.7510304078397463,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/activemq,XGBoost (TF-IDF 32D (PCA)),0.1971326164874552,0.6111111111111112,0.2981029810298103,0.7489984147571697,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/camel,Logistic Regression (TF-IDF 768D),0.06144578313253012,0.6623376623376623,0.11245865490628446,0.8103524815768446,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/camel,Random Forest (TF-IDF 768D),0.1282051282051282,0.12987012987012986,0.12903225806451613,0.7876897806978602,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/camel,XGBoost (TF-IDF 768D),0.07388316151202749,0.5584415584415584,0.13050075872534142,0.7667382337985196,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/camel,Logistic Regression (TF-IDF 32D (PCA)),0.06347438752783964,0.7402597402597403,0.11692307692307692,0.8031083273469849,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/camel,Random Forest (TF-IDF 32D (PCA)),0.12244897959183673,0.07792207792207792,0.09523809523809523,0.7941308225646323,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/camel,XGBoost (TF-IDF 32D (PCA)),0.07781456953642384,0.6103896103896104,0.13803230543318648,0.7994438749566157,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hbase,Logistic Regression (TF-IDF 768D),0.27431906614785995,0.7621621621621621,0.4034334763948498,0.7358756444305578,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hbase,Random Forest (TF-IDF 768D),0.30296127562642367,0.7189189189189189,0.42628205128205127,0.7465989689111077,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hbase,XGBoost (TF-IDF 768D),0.2739463601532567,0.772972972972973,0.4045261669024045,0.7348633026089674,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hbase,Logistic Regression (TF-IDF 32D (PCA)),0.27715355805243447,0.8,0.41168289290681503,0.7496797375410093,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hbase,Random Forest (TF-IDF 32D (PCA)),0.280561122244489,0.7567567567567568,0.4093567251461988,0.7356569286049055,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hbase,XGBoost (TF-IDF 32D (PCA)),0.26773049645390073,0.8162162162162162,0.4032042723631509,0.7365380409311045,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/zookeeper,Logistic Regression (TF-IDF 768D),0.05970149253731343,0.5714285714285714,0.10810810810810811,0.5087463556851312,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/zookeeper,Random Forest (TF-IDF 768D),0.05555555555555555,0.42857142857142855,0.09836065573770492,0.4970845481049563,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/zookeeper,XGBoost (TF-IDF 768D),0.07936507936507936,0.7142857142857143,0.14285714285714285,0.5364431486880468,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/zookeeper,Logistic Regression (TF-IDF 32D (PCA)),0.06557377049180328,0.5714285714285714,0.11764705882352941,0.5597667638483964,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/zookeeper,Random Forest (TF-IDF 32D (PCA)),0.07272727272727272,0.5714285714285714,0.12903225806451613,0.5823615160349854,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/zookeeper,XGBoost (TF-IDF 32D (PCA)),0.07462686567164178,0.7142857142857143,0.13513513513513514,0.5349854227405247,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hive,Logistic Regression (TF-IDF 768D),0.36363636363636365,0.8979591836734694,0.5176470588235295,0.8119738316782652,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hive,Random Forest (TF-IDF 768D),0.33251833740831294,0.9251700680272109,0.4892086330935252,0.825944170771757,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hive,XGBoost (TF-IDF 768D),0.3282828282828283,0.8843537414965986,0.47882136279926335,0.806936951025621,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hive,Logistic Regression (TF-IDF 32D (PCA)),0.3753581661891118,0.891156462585034,0.5282258064516129,0.8256835301170278,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hive,Random Forest (TF-IDF 32D (PCA)),0.3030973451327434,0.9319727891156463,0.4574290484140234,0.8047475695258945,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hive,XGBoost (TF-IDF 32D (PCA)),0.32587064676616917,0.891156462585034,0.4772313296903461,0.7822086689081764,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/cassandra,Logistic Regression (TF-IDF 768D),0.38922155688622756,0.8441558441558441,0.5327868852459017,0.8224292457960799,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/cassandra,Random Forest (TF-IDF 768D),0.49390243902439024,0.7012987012987013,0.5796064400715564,0.8255237225086471,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/cassandra,XGBoost (TF-IDF 768D),0.4194260485651214,0.8225108225108225,0.5555555555555556,0.8210968261219518,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/cassandra,Logistic Regression (TF-IDF 32D (PCA)),0.39634146341463417,0.8441558441558441,0.5394190871369294,0.8285203071635233,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/cassandra,Random Forest (TF-IDF 32D (PCA)),0.47701149425287354,0.7186147186147186,0.5734024179620034,0.8096026670147273,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/cassandra,XGBoost (TF-IDF 32D (PCA)),0.4043478260869565,0.8051948051948052,0.5383502170767004,0.8008685200896255,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
apache/hadoop-hdfs,Logistic Regression (TF-IDF 768D),0.28125,0.75,0.4090909090909091,0.7899543378995434,TF-IDF,Text-Based Features,False,Chronological (70/15/15)
